,Accuracy,cancertype,method
0,0.875,leuk,RandomForestClassifier
1,0.875,leuk,RandomForestClassifier
2,1.0,leuk,RandomForestClassifier
3,1.0,leuk,RandomForestClassifier
4,1.0,leuk,RandomForestClassifier
5,1.0,leuk,RandomForestClassifier
6,1.0,leuk,RandomForestClassifier
7,0.8571428571428571,leuk,RandomForestClassifier
8,0.8333333333333334,leuk,RandomForestClassifier
9,1.0,leuk,RandomForestClassifier
10,1.0,leuk,AdaBoostClassifier
11,1.0,leuk,AdaBoostClassifier
12,1.0,leuk,AdaBoostClassifier
13,0.75,leuk,AdaBoostClassifier
14,1.0,leuk,AdaBoostClassifier
15,0.8571428571428571,leuk,AdaBoostClassifier
16,1.0,leuk,AdaBoostClassifier
17,0.8571428571428571,leuk,AdaBoostClassifier
18,0.8333333333333334,leuk,AdaBoostClassifier
19,0.8333333333333334,leuk,AdaBoostClassifier
20,1.0,leuk,BaggingClassifier
21,0.875,leuk,BaggingClassifier
22,1.0,leuk,BaggingClassifier
23,1.0,leuk,BaggingClassifier
24,1.0,leuk,BaggingClassifier
25,1.0,leuk,BaggingClassifier
26,1.0,leuk,BaggingClassifier
27,1.0,leuk,BaggingClassifier
28,0.6666666666666666,leuk,BaggingClassifier
29,0.8333333333333334,leuk,BaggingClassifier
30,0.875,leuk,ExtraTreesClassifier
31,1.0,leuk,ExtraTreesClassifier
32,1.0,leuk,ExtraTreesClassifier
33,1.0,leuk,ExtraTreesClassifier
34,1.0,leuk,ExtraTreesClassifier
35,1.0,leuk,ExtraTreesClassifier
36,0.8571428571428571,leuk,ExtraTreesClassifier
37,1.0,leuk,ExtraTreesClassifier
38,0.8333333333333334,leuk,ExtraTreesClassifier
39,1.0,leuk,ExtraTreesClassifier
40,1.0,bladder,RandomForestClassifier
41,1.0,bladder,RandomForestClassifier
42,1.0,bladder,RandomForestClassifier
43,1.0,bladder,RandomForestClassifier
44,1.0,bladder,RandomForestClassifier
45,1.0,bladder,RandomForestClassifier
46,1.0,bladder,RandomForestClassifier
47,1.0,bladder,RandomForestClassifier
48,1.0,bladder,RandomForestClassifier
49,0.9166666666666666,bladder,RandomForestClassifier
50,1.0,bladder,AdaBoostClassifier
51,1.0,bladder,AdaBoostClassifier
52,1.0,bladder,AdaBoostClassifier
53,1.0,bladder,AdaBoostClassifier
54,0.75,bladder,AdaBoostClassifier
55,1.0,bladder,AdaBoostClassifier
56,1.0,bladder,AdaBoostClassifier
57,1.0,bladder,AdaBoostClassifier
58,1.0,bladder,AdaBoostClassifier
59,0.9166666666666666,bladder,AdaBoostClassifier
60,1.0,bladder,BaggingClassifier
61,1.0,bladder,BaggingClassifier
62,1.0,bladder,BaggingClassifier
63,1.0,bladder,BaggingClassifier
64,0.75,bladder,BaggingClassifier
65,0.9166666666666666,bladder,BaggingClassifier
66,1.0,bladder,BaggingClassifier
67,1.0,bladder,BaggingClassifier
68,1.0,bladder,BaggingClassifier
69,0.9166666666666666,bladder,BaggingClassifier
70,1.0,bladder,ExtraTreesClassifier
71,1.0,bladder,ExtraTreesClassifier
72,1.0,bladder,ExtraTreesClassifier
73,1.0,bladder,ExtraTreesClassifier
74,1.0,bladder,ExtraTreesClassifier
75,1.0,bladder,ExtraTreesClassifier
76,1.0,bladder,ExtraTreesClassifier
77,1.0,bladder,ExtraTreesClassifier
78,1.0,bladder,ExtraTreesClassifier
79,1.0,bladder,ExtraTreesClassifier
80,1.0,liver,RandomForestClassifier
81,1.0,liver,RandomForestClassifier
82,1.0,liver,RandomForestClassifier
83,1.0,liver,RandomForestClassifier
84,0.8421052631578947,liver,RandomForestClassifier
85,0.9444444444444444,liver,RandomForestClassifier
86,1.0,liver,RandomForestClassifier
87,0.8823529411764706,liver,RandomForestClassifier
88,1.0,liver,RandomForestClassifier
89,1.0,liver,RandomForestClassifier
90,0.8421052631578947,liver,AdaBoostClassifier
91,1.0,liver,AdaBoostClassifier
92,1.0,liver,AdaBoostClassifier
93,1.0,liver,AdaBoostClassifier
94,0.9473684210526316,liver,AdaBoostClassifier
95,1.0,liver,AdaBoostClassifier
96,1.0,liver,AdaBoostClassifier
97,0.8823529411764706,liver,AdaBoostClassifier
98,1.0,liver,AdaBoostClassifier
99,1.0,liver,AdaBoostClassifier
100,0.8421052631578947,liver,BaggingClassifier
101,1.0,liver,BaggingClassifier
102,1.0,liver,BaggingClassifier
103,1.0,liver,BaggingClassifier
104,0.9473684210526316,liver,BaggingClassifier
105,0.9444444444444444,liver,BaggingClassifier
106,1.0,liver,BaggingClassifier
107,0.8823529411764706,liver,BaggingClassifier
108,1.0,liver,BaggingClassifier
109,1.0,liver,BaggingClassifier
110,1.0,liver,ExtraTreesClassifier
111,1.0,liver,ExtraTreesClassifier
112,1.0,liver,ExtraTreesClassifier
113,1.0,liver,ExtraTreesClassifier
114,0.8947368421052632,liver,ExtraTreesClassifier
115,0.9444444444444444,liver,ExtraTreesClassifier
116,1.0,liver,ExtraTreesClassifier
117,0.8823529411764706,liver,ExtraTreesClassifier
118,1.0,liver,ExtraTreesClassifier
119,1.0,liver,ExtraTreesClassifier
120,0.8,prostate,RandomForestClassifier
121,0.8,prostate,RandomForestClassifier
122,0.7857142857142857,prostate,RandomForestClassifier
123,1.0,prostate,RandomForestClassifier
124,0.9285714285714286,prostate,RandomForestClassifier
125,0.9285714285714286,prostate,RandomForestClassifier
126,0.7142857142857143,prostate,RandomForestClassifier
127,0.6923076923076923,prostate,RandomForestClassifier
128,0.6923076923076923,prostate,RandomForestClassifier
129,0.9230769230769232,prostate,RandomForestClassifier
130,0.8666666666666667,prostate,AdaBoostClassifier
131,0.8666666666666667,prostate,AdaBoostClassifier
132,0.7142857142857143,prostate,AdaBoostClassifier
133,0.9285714285714286,prostate,AdaBoostClassifier
134,0.8571428571428571,prostate,AdaBoostClassifier
135,0.8571428571428571,prostate,AdaBoostClassifier
136,0.7857142857142857,prostate,AdaBoostClassifier
137,0.7692307692307693,prostate,AdaBoostClassifier
138,0.7692307692307693,prostate,AdaBoostClassifier
139,0.9230769230769232,prostate,AdaBoostClassifier
140,0.8,prostate,BaggingClassifier
141,0.8,prostate,BaggingClassifier
142,0.7857142857142857,prostate,BaggingClassifier
143,0.9285714285714286,prostate,BaggingClassifier
144,0.9285714285714286,prostate,BaggingClassifier
145,0.8571428571428571,prostate,BaggingClassifier
146,0.7857142857142857,prostate,BaggingClassifier
147,0.6923076923076923,prostate,BaggingClassifier
148,0.6923076923076923,prostate,BaggingClassifier
149,0.8461538461538461,prostate,BaggingClassifier
150,0.8,prostate,ExtraTreesClassifier
151,0.8666666666666667,prostate,ExtraTreesClassifier
152,0.7142857142857143,prostate,ExtraTreesClassifier
153,0.8571428571428571,prostate,ExtraTreesClassifier
154,0.9285714285714286,prostate,ExtraTreesClassifier
155,0.8571428571428571,prostate,ExtraTreesClassifier
156,0.7142857142857143,prostate,ExtraTreesClassifier
157,0.6923076923076923,prostate,ExtraTreesClassifier
158,0.8461538461538461,prostate,ExtraTreesClassifier
159,0.9230769230769232,prostate,ExtraTreesClassifier
160,0.8571428571428571,colon,RandomForestClassifier
161,1.0,colon,RandomForestClassifier
162,0.8333333333333334,colon,RandomForestClassifier
163,1.0,colon,RandomForestClassifier
164,1.0,colon,RandomForestClassifier
165,0.8333333333333334,colon,RandomForestClassifier
166,1.0,colon,RandomForestClassifier
167,0.5,colon,RandomForestClassifier
168,0.8333333333333334,colon,RandomForestClassifier
169,0.5,colon,RandomForestClassifier
170,1.0,colon,AdaBoostClassifier
171,0.7142857142857143,colon,AdaBoostClassifier
172,0.8333333333333334,colon,AdaBoostClassifier
173,1.0,colon,AdaBoostClassifier
174,1.0,colon,AdaBoostClassifier
175,1.0,colon,AdaBoostClassifier
176,1.0,colon,AdaBoostClassifier
177,0.6666666666666666,colon,AdaBoostClassifier
178,1.0,colon,AdaBoostClassifier
179,0.6666666666666666,colon,AdaBoostClassifier
180,1.0,colon,BaggingClassifier
181,1.0,colon,BaggingClassifier
182,0.8333333333333334,colon,BaggingClassifier
183,0.8333333333333334,colon,BaggingClassifier
184,1.0,colon,BaggingClassifier
185,0.8333333333333334,colon,BaggingClassifier
186,0.8333333333333334,colon,BaggingClassifier
187,0.5,colon,BaggingClassifier
188,0.8333333333333334,colon,BaggingClassifier
189,0.5,colon,BaggingClassifier
190,1.0,colon,ExtraTreesClassifier
191,1.0,colon,ExtraTreesClassifier
192,0.8333333333333334,colon,ExtraTreesClassifier
193,1.0,colon,ExtraTreesClassifier
194,1.0,colon,ExtraTreesClassifier
195,0.8333333333333334,colon,ExtraTreesClassifier
196,1.0,colon,ExtraTreesClassifier
197,0.8333333333333334,colon,ExtraTreesClassifier
198,1.0,colon,ExtraTreesClassifier
199,0.8333333333333334,colon,ExtraTreesClassifier
